DateTime,Open,High,Low,Close
2021-04-18 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-19 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-20 00:00:00,3e-06,3e-06,3e-06,3e-06
2021-04-20 04:00:00,3e-06,3e-06,3e-06,3e-06
2021-04-20 08:00:00,3e-06,4e-06,3e-06,4e-06
2021-04-20 12:00:00,4e-06,4e-06,3e-06,4e-06
2021-04-20 16:00:00,4e-06,4e-06,4e-06,4e-06
2021-04-20 20:00:00,4e-06,4e-06,3e-06,4e-06
2021-04-21 00:00:00,4e-06,4e-06,3e-06,3e-06
2021-04-21 04:00:00,3e-06,3e-06,2e-06,2e-06
2021-04-21 08:00:00,3e-06,3e-06,2e-06,3e-06
2021-04-21 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-21 16:00:00,2e-06,3e-06,2e-06,2e-06
2021-04-21 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-22 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-22 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-22 08:00:00,2e-06,2e-06,8.4777e-07,1e-06
2021-04-22 12:00:00,1e-06,2e-06,1e-06,1e-06
2021-04-22 16:00:00,1e-06,2e-06,1e-06,2e-06
2021-04-22 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-23 00:00:00,2e-06,2e-06,1e-06,2e-06
2021-04-23 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-23 08:00:00,2e-06,2e-06,1e-06,1e-06
2021-04-23 12:00:00,2e-06,2e-06,1e-06,1e-06
2021-04-23 16:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-23 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-24 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-24 04:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-24 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-24 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-24 16:00:00,1e-06,2e-06,1e-06,2e-06
2021-04-24 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 04:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 16:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-25 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 04:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 16:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-26 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 04:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 16:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-27 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-28 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-28 04:00:00,1e-06,1e-06,7.89375e-07,1e-06
2021-04-28 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-28 12:00:00,9.33148e-07,9.36869e-07,8.85688e-07,9.12643e-07
2021-04-28 16:00:00,9.8601e-07,1e-06,9.52912e-07,1e-06
2021-04-28 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-29 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-29 04:00:00,1e-06,2e-06,1e-06,1e-06
2021-04-29 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-29 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-29 16:00:00,2e-06,2e-06,1e-06,1e-06
2021-04-29 20:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-30 00:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-30 04:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-30 08:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-30 12:00:00,1e-06,1e-06,1e-06,1e-06
2021-04-30 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-04-30 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-01 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-02 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-03 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-04 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-05 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 12:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 16:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-06 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-07 00:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-07 04:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-07 08:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-07 12:00:00,2e-06,2e-06,1e-06,1e-06
2021-05-07 16:00:00,1e-06,2e-06,1e-06,2e-06
2021-05-07 20:00:00,2e-06,2e-06,2e-06,2e-06
2021-05-08 00:00:00,2e-06,3e-06,2e-06,3e-06
2021-05-08 04:00:00,3e-06,3e-06,3e-06,3e-06
2021-05-08 08:00:00,3e-06,3e-06,2e-06,2e-06
2021-05-08 12:00:00,3e-06,4e-06,3e-06,4e-06
2021-05-08 16:00:00,3e-06,7e-06,3e-06,7e-06
2021-05-08 20:00:00,5e-06,7e-06,5e-06,7e-06
2021-05-09 00:00:00,8e-06,1.1e-05,8e-06,1e-05
2021-05-09 04:00:00,1.1e-05,1.7e-05,1.1e-05,1.3e-05
2021-05-09 08:00:00,1.3e-05,1.6e-05,1.3e-05,1.6e-05
2021-05-09 12:00:00,1.6e-05,1.9e-05,1.5e-05,1.9e-05
2021-05-09 16:00:00,1.6e-05,1.7e-05,1.6e-05,1.6e-05
2021-05-09 20:00:00,1.7e-05,1.7e-05,1.4e-05,1.4e-05
2021-05-10 00:00:00,1.3e-05,1.5e-05,1.3e-05,1.5e-05
2021-05-10 04:00:00,1.5e-05,1.5e-05,1.4e-05,1.4e-05
2021-05-10 08:00:00,1.4e-05,1.5e-05,1.4e-05,1.5e-05
2021-05-10 12:00:00,1.6e-05,1.6e-05,1.4e-05,1.4e-05
2021-05-10 16:00:00,1.4e-05,1.5e-05,1.4e-05,1.5e-05
2021-05-10 20:00:00,1.7e-05,3.1e-05,1.7e-05,3.1e-05
2021-05-11 00:00:00,2.8e-05,3e-05,2.8e-05,2.9e-05
2021-05-11 04:00:00,2.9e-05,2.9e-05,2.5e-05,2.7e-05
2021-05-11 08:00:00,2.9e-05,3.8e-05,2.9e-05,3.8e-05
2021-05-11 12:00:00,3.5e-05,3.6e-05,3.3e-05,3.6e-05
2021-05-11 16:00:00,3.6e-05,3.6e-05,3.3e-05,3.3e-05
2021-05-11 20:00:00,3e-05,3.3e-05,3e-05,3.3e-05
2021-05-12 00:00:00,3.3e-05,3.3e-05,3e-05,3e-05
2021-05-12 04:00:00,3e-05,3.4e-05,3e-05,3.4e-05
2021-05-12 08:00:00,3.3e-05,3.4e-05,3.2e-05,3.2e-05
2021-05-12 12:00:00,3.1e-05,3.1e-05,3e-05,3e-05
2021-05-12 16:00:00,2.7e-05,2.8e-05,2.5e-05,2.7e-05
2021-05-12 20:00:00,2.9e-05,3e-05,2.9e-05,2.9e-05
2021-05-13 00:00:00,2.9e-05,2.9e-05,2.7e-05,2.7e-05
2021-05-13 04:00:00,2.7e-05,2.7e-05,2.3e-05,2.3e-05
2021-05-13 08:00:00,2.3e-05,2.3e-05,1.9e-05,2.1e-05
2021-05-13 12:00:00,1.8e-05,2.2e-05,1.8e-05,2.2e-05
2021-05-13 16:00:00,2.1e-05,2.1e-05,1.9e-05,2e-05
2021-05-13 20:00:00,1.9e-05,1.9e-05,1.6e-05,1.6e-05
2021-05-14 00:00:00,1.7e-05,2e-05,1.7e-05,2e-05
2021-05-14 04:00:00,1.9e-05,1.9e-05,1.9e-05,1.9e-05
2021-05-14 08:00:00,1.9e-05,2.2e-05,1.9e-05,2.1e-05
2021-05-14 12:00:00,2.1e-05,2.2e-05,2e-05,2e-05
2021-05-14 16:00:00,2e-05,2.1e-05,2e-05,2.1e-05
2021-05-14 20:00:00,2.1e-05,2.1e-05,2e-05,2.1e-05
2021-05-15 00:00:00,2e-05,2e-05,2e-05,2e-05
2021-05-15 04:00:00,2e-05,2e-05,1.9e-05,1.9e-05
2021-05-15 08:00:00,1.9e-05,1.9e-05,1.9e-05,1.9e-05
2021-05-15 12:00:00,1.9e-05,1.9e-05,1.8e-05,1.8e-05
2021-05-15 16:00:00,1.7e-05,1.9e-05,1.7e-05,1.8e-05
2021-05-15 20:00:00,1.8e-05,1.8e-05,1.7e-05,1.7e-05
2021-05-16 00:00:00,1.8e-05,1.8e-05,1.7e-05,1.7e-05
2021-05-16 04:00:00,1.6e-05,1.7e-05,1.5e-05,1.7e-05
2021-05-16 08:00:00,1.7e-05,1.7e-05,1.6e-05,1.6e-05
2021-05-16 12:00:00,1.6e-05,1.6e-05,1.5e-05,1.5e-05
2021-05-16 16:00:00,1.6e-05,1.6e-05,1.6e-05,1.6e-05
2021-05-16 20:00:00,1.6e-05,1.6e-05,1.6e-05,1.6e-05
2021-05-17 00:00:00,1.6e-05,1.6e-05,1.6e-05,1.6e-05
2021-05-17 04:00:00,1.5e-05,1.6e-05,1.4e-05,1.4e-05
2021-05-17 08:00:00,1.3e-05,1.8e-05,1.3e-05,1.8e-05
2021-05-17 12:00:00,1.8e-05,1.8e-05,1.6e-05,1.6e-05
2021-05-17 16:00:00,1.6e-05,1.6e-05,1.5e-05,1.6e-05
2021-05-17 20:00:00,1.6e-05,1.7e-05,1.6e-05,1.6e-05
2021-05-18 00:00:00,1.6e-05,1.6e-05,1.6e-05,1.6e-05
2021-05-18 04:00:00,1.5e-05,1.6e-05,1.5e-05,1.6e-05
2021-05-18 08:00:00,1.6e-05,1.7e-05,1.6e-05,1.6e-05
2021-05-18 12:00:00,1.6e-05,1.7e-05,1.6e-05,1.7e-05
